Movimientos del Día							
							
Cuenta Corriente en Pesos Nro. 286-005920/0							
							
Fecha	Suc. Origen	Desc. Sucursal	Cod. Operativo	Referencia	Concepto	Importe Pesos	Saldo Pesos
12/11/2014	286	Trelew	9637	14324	"Anulacion Imp Ley 25413 Cred 0,6% "	"145,90"	"440.870,83"
12/11/2014	286	Trelew	9633	14323	"Anulacion Imp Ley 25413 Deb 0,6% "	"0,04"	"440.724,93"
12/11/2014	0	Casa Central	4762	36095	Transf. Entre Terceros S.n.p.  - Industrias Quim 30708425067 Var 05009900307 	"50.000,00"	"440.724,89"
12/11/2014	286	Trelew	108	24625057	Ch. Rechazados Cargo Otros Bancos 	"(388,92)"	"390.724,89"
12/11/2014	286	Trelew	101	17170395	Cheque Rechazado 	"(13.204,01)"	"391.113,81"
12/11/2014	286	Trelew	108	1191774	Ch. Rechazados Cargo Otros Bancos 	"(10.725,73)"	"404.317,82"
12/11/2014	286	Trelew	3254	14316	Iva Tasa General 	"(15,08)"	"415.043,55"
12/11/2014	286	Trelew	960	14315	Comision Procesamiento Ch Dep Cfu 	"(71,79)"	"415.058,63"
12/11/2014	286	Trelew	871	16000206	Valor Al Cobro Comp Elect Prop Loc 	"23.929,74"	"415.130,42"
12/11/2014	286	Trelew	865	16000206	Cheque 48 Hs Comp Elect Cam Local 	"12.849,20"	"391.200,68"
11/11/2014	286	Trelew	1737	14317	Regimen De Recaudacion Sircreb O  - 30708425067 	"(79,42)"	"378.351,48"
11/11/2014	286	Trelew	4633	14312	"Imp Ley 25413 Deb 0,6% "	"(158,87)"	"378.430,90"
11/11/2014	286	Trelew	4637	14311	"Imp Ley 25413 Cred 0,6% "	"(36,66)"	"378.589,77"
11/11/2014	286	Trelew	4053	16000206	Deposito Ch Canje Interno 24 Hs 	"5.296,50"	"378.626,43"
11/11/2014	0	Casa Central	4762	17415	Transf. Entre Terceros S.n.p.  - Industrias Quim 30708425067 Var 03971400307 	"50.000,00"	"373.329,93"
11/11/2014	286	Trelew	1325	79862599	Visa  - Por Deb:11/11/2014 Part 000000000179862599 	"(9.261,72)"	"323.329,93"
11/11/2014	286	Trelew	2602	22639710	Pago A Comercios Visa 	"813,22"	"332.591,65"
11/11/2014	286	Trelew	133	3460	Clearing Recibido 48 Hs 	"(17.216,43)"	"331.778,43"
10/11/2014	286	Trelew	4633	14305	"Imp Ley 25413 Deb 0,6% "	"(226,53)"	"348.994,86"
10/11/2014	286	Trelew	824	10188	Pago Cci 24hs Gravada Interbanking  - A Cbu 1910027855002701063128 	"(13.513,00)"	"349.221,39"
10/11/2014	286	Trelew	308	3484	Cheque Pagador Por Caja  - Mata Marcelo 	"(9.708,85)"	"362.734,39"
10/11/2014	0	Casa Central	4085	9820	Berkley Int Seg 121-04-07738559-0 	"(1.386,00)"	"372.443,24"
10/11/2014	286	Trelew	133	3471	Clearing Recibido 48 Hs 	"(13.145,90)"	"373.829,24"
07/11/2014	286	Trelew	4633	14300	"Imp Ley 25413 Deb 0,6% "	"(357,85)"	"386.975,14"
07/11/2014	5	Monserrat	150	3477	Canje Interno Recibido 24 Hs 	"(14.662,55)"	"387.332,99"
07/11/2014	286	Trelew	308	3487	Cheque Pagador Por Caja  - Huircapan Marcelo 	"(4.400,00)"	"401.995,54"
07/11/2014	286	Trelew	308	3486	Cheque Pagador Por Caja  - Salazar Manuel Rene 	"(3.500,00)"	"406.395,54"
07/11/2014	286	Trelew	133	3427	Clearing Recibido 48 Hs 	"(20.078,29)"	"409.895,54"
06/11/2014	286	Trelew	2676	60069142	Debito Para Pago De Haberes  - A Cta 0286-007003668658 Ars 	"(17.000,00)"	"429.973,83"
05/11/2014	286	Trelew	4633	14294	"Imp Ley 25413 Deb 0,6% "	"(430,01)"	"446.973,83"
05/11/2014	286	Trelew	2676	60069142	Debito Para Pago De Haberes  - A Cta 0286-007003250662 Ars 	"(5.094,00)"	"447.403,84"
05/11/2014	286	Trelew	2676	60069142	Debito Para Pago De Haberes  - A Cta 0286-007003249521 Ars 	"(6.368,00)"	"452.497,84"
05/11/2014	286	Trelew	2676	60069142	Debito Para Pago De Haberes  - A Cta 0286-007003249538 Ars 	"(6.368,00)"	"458.865,84"
05/11/2014	286	Trelew	2676	60069142	Debito Para Pago De Haberes  - A Cta 0286-007003248757 Ars 	"(6.260,00)"	"465.233,84"
05/11/2014	286	Trelew	2676	60069142	Debito Para Pago De Haberes  - A Cta 0286-007003245949 Ars 	"(6.423,00)"	"471.493,84"
05/11/2014	286	Trelew	2676	60069142	Debito Para Pago De Haberes  - A Cta 0286-007003669613 Ars 	"(6.370,00)"	"477.916,84"
05/11/2014	286	Trelew	2676	60069142	Debito Para Pago De Haberes  - A Cta 0286-007003643217 Ars 	"(16.310,00)"	"484.286,84"
05/11/2014	286	Trelew	2676	60069142	Debito Para Pago De Haberes  - A Cta 0286-007003572883 Ars 	"(8.233,00)"	"500.596,84"
05/11/2014	286	Trelew	2676	60069142	Debito Para Pago De Haberes  - A Cta 0286-007003572821 Ars 	"(10.242,00)"	"508.829,84"
04/11/2014	286	Trelew	4633	14284	"Imp Ley 25413 Deb 0,6% "	"(6,63)"	"519.071,84"
03/11/2014	286	Trelew	1737	14283	Regimen De Recaudacion Sircreb O  - 30708425067 	"(1.104,58)"	"519.078,47"
03/11/2014	286	Trelew	4633	14282	"Imp Ley 25413 Deb 0,6% "	"(33,79)"	"520.183,05"
03/11/2014	286	Trelew	4637	14281	"Imp Ley 25413 Cred 0,6% "	"(566,92)"	"520.216,84"
03/11/2014	0	Casa Central	4805	22398	Transferencias Inmediatas  - Originante 30633669011 	"7.522,40"	"520.783,76"
03/11/2014	286	Trelew	1253	19912	Credito Transf Online Banking Emp  - Aguas Rionegrinas Sa 30707421041 Var Var 	"84.967,50"	"513.261,36"
03/11/2014	0	Casa Central	4805	39046	Transferencias Inmediatas  - Originante 13538055 	"1.996,50"	"428.293,86"
03/11/2014	286	Trelew	133	3448	Clearing Recibido 48 Hs 	"(1.585,10)"	"426.297,36"
03/11/2014	286	Trelew	133	3450	Clearing Recibido 48 Hs 	"(1.439,84)"	"427.882,46"
01/11/2014	286	Trelew	1252	194	Debito Transf. Online Banking Emp  - A Cta 0286-007003643217 Ars 	"(700,23)"	"429.322,30"
01/11/2014	286	Trelew	1252	50766	Debito Transf. Online Banking Emp  - A Cta 0286-007003643217 Ars 	"(1.900,00)"	"430.022,53"
"Saldo al 16/12/2014 449.580,20"							
							
17/12/2014 09:32							
